timestamp_llegada,timestamp_inicio_servicio,tiempo_servicio,timestamp_salida,tiempo_en_sistema,tiempo_espera_cola
1764360849.9281485,1764360849.9281485,0.06559072364669849,1764360849.994486,0.06633758544921875,0.0
1764360850.1915581,1764360850.1915581,0.11124864068780067,1764360850.3028507,0.11129260063171387,0.0
1764360851.377728,1764360851.377728,0.6377666573388362,1764360852.0158,0.6380720138549805,0.0
1764360852.26543,1764360852.26543,0.13896724801391952,1764360852.4054174,0.13998746871948242,0.0
1764360857.0602455,1764360857.0602455,2.822739411620217,1764360859.884285,2.8240394592285156,0.0
1764360859.9717212,1764360859.9717212,0.047439728230117134,1764360860.019436,0.0477147102355957,0.0
1764360861.5737312,1764360861.5737312,0.9369588447452877,1764360862.5115824,0.9378511905670166,0.0
1764360863.3341377,1764360863.3341377,0.49239403061205084,1764360863.8270044,0.49286675453186035,0.0
1764360867.6710548,1764360867.6710548,2.3306444385214156,1764360870.0025072,2.3314523696899414,0.0
1764360870.372402,1764360870.372402,0.21213604783428025,1764360870.585598,0.2131960391998291,0.0
1764360871.430107,1764360871.430107,0.501594055087456,1764360871.9323308,0.5022237300872803,0.0
1764360872.7727637,1764360872.7727637,0.4953170016979796,1764360873.268882,0.49611830711364746,0.0
1764360873.8506649,1764360873.8506649,0.3429925781621924,1764360874.1947055,0.3440406322479248,0.0
1764360874.2223103,1764360874.2223103,0.0020389640363842857,1764360874.225318,0.003007650375366211,0.0
1764360875.375572,1764360875.375572,0.6990123689004645,1764360876.07587,0.7002980709075928,0.0
1764360876.2635756,1764360876.2635756,0.11181900554861932,1764360876.3762064,0.11263084411621094,0.0
1764360878.216688,1764360878.216688,1.110130889514928,1764360879.3280315,1.1113436222076416,0.0
1764360879.5003839,1764360879.5003839,0.08833951473096079,1764360879.5889213,0.08853745460510254,0.0
1764360880.3515375,1764360880.3515375,0.46220329261505383,1764360880.813985,0.4624476432800293,0.0
1764360882.0257833,1764360882.0257833,0.7253539115923386,1764360882.751735,0.7259516716003418,0.0
1764360887.4844139,1764360887.4844139,2.875711654343553,1764360890.3610873,2.876673460006714,0.0
1764360890.5840645,1764360890.5840645,0.11872351589681775,1764360890.7035205,0.11945605278015137,0.0
1764360891.0359225,1764360891.0359225,0.18701858306301303,1764360891.2231317,0.1872091293334961,0.0
1764360894.3746595,1764360894.3746595,1.9036462473097433,1764360896.2791064,1.9044468402862549,0.0
1764360896.3263845,1764360896.3263845,0.026176465964504063,1764360896.3530998,0.02671527862548828,0.0
1764360901.2203448,1764360901.2203448,2.952209625750517,1764360904.1736069,2.9532620906829834,0.0
1764360905.8935528,1764360905.8935528,1.0389358864642837,1764360906.9328308,1.0392780303955078,0.0
1764360907.5648706,1764360907.5648706,0.37600313392536655,1764360907.9419272,0.3770565986633301,0.0
1764360911.6027157,1764360911.6027157,2.2184844503498513,1764360913.8217862,2.2190704345703125,0.0
1764360916.7684646,1764360916.7684646,1.7859139316217005,1764360918.555247,1.7867825031280518,0.0
1764360919.4199722,1764360919.4199722,0.5131401769475046,1764360919.934062,0.514089822769165,0.0
1764360923.1914995,1764360923.1914995,1.9718890325243992,1764360925.1636877,1.9721882343292236,0.0
1764360925.6420884,1764360925.6420884,0.28263249172166865,1764360925.9259133,0.2838249206542969,0.0
1764360927.827778,1764360927.827778,1.1448761663841056,1764360928.9735157,1.145737648010254,0.0
1764360930.4979076,1764360930.4979076,0.9131931271655145,1764360931.4120278,0.9141201972961426,0.0
1764360934.7418964,1764360934.7418964,2.021043663163338,1764360936.763378,2.021481513977051,0.0
1764360937.5355537,1764360937.5355537,0.46185448579109317,1764360937.9982388,0.46268510818481445,0.0
1764360939.0334952,1764360939.0334952,0.6193823321815008,1764360939.6529546,0.6194593906402588,0.0
1764360942.6044028,1764360942.6044028,1.7884713174945108,1764360944.3938317,1.789428949356079,0.0
1764360945.85066,1764360945.85066,0.8768077073255618,1764360946.7285001,0.8778400421142578,0.0
1764360949.0638595,1764360949.0638595,1.408129277412945,1764360950.4729831,1.4091236591339111,0.0
1764360952.529258,1764360952.529258,1.2403505022841759,1764360953.7698822,1.240624189376831,0.0
1764360955.991614,1764360955.991614,1.3397380271402863,1764360957.3314693,1.3398551940917969,0.0
1764360961.7616708,1764360961.7616708,2.6928919642848625,1764360964.4556859,2.6940150260925293,0.0
1764360965.8014724,1764360965.8014724,0.8119482376778586,1764360966.6144795,0.813007116317749,0.0
1764360968.837638,1764360968.837638,1.3463873720049755,1764360970.1848047,1.3471667766571045,0.0
1764360971.1483393,1764360971.1483393,0.5722421133201945,1764360971.7209275,0.5725882053375244,0.0
1764360971.8050702,1764360971.8050702,0.0394625192988998,1764360971.8456674,0.04059720039367676,0.0
1764360974.6772137,1764360974.6772137,1.711131636079504,1764360976.388518,1.7113044261932373,0.0
1764360976.8084288,1764360976.8084288,0.24419392586656122,1764360977.053525,0.24509620666503906,0.0
1764365304.9315958,1764365304.9315958,0.06559072364669849,1764365304.9981873,0.06659150123596191,0.0
1764365305.1963117,1764365305.1963117,0.11124864068780067,1764365305.3077025,0.11139082908630371,0.0
1764365306.3589132,1764365306.3589132,0.6377666573388362,1764365306.9975271,0.6386139392852783,0.0
1764365307.244288,1764365307.244288,0.13896724801391952,1764365307.383547,0.13925909996032715,0.0
1764365312.0404613,1764365312.0404613,2.822739411620217,1764365314.8635912,2.823129892349243,0.0
1764365314.9460557,1764365314.9460557,0.047439728230117134,1764365314.9940746,0.0480189323425293,0.0
1764365316.5456574,1764365316.5456574,0.9369588447452877,1764365317.4829977,0.937340259552002,0.0
